property_name,city,state,area,property_type,hotel_star_rating,site_review_rating,price,hotel_facilities,hotel_description
Jaipur Stay 1,Jaipur,NA,Area 1,Hotel,3,3.9,11811,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 2,Jaipur,NA,Area 2,Hotel,2,4.6,2782,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 3,Jaipur,NA,Area 3,Hotel,4,4.2,4284,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 4,Jaipur,NA,Area 4,Hotel,3,3.3,17827,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 5,Jaipur,NA,Area 5,Hotel,5,3.3,15409,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 6,Jaipur,NA,Area 1,Hotel,5,3.3,4172,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 7,Jaipur,NA,Area 2,Hotel,2,4.8,19728,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 8,Jaipur,NA,Area 3,Hotel,2,4.2,21864,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 9,Jaipur,NA,Area 4,Hotel,2,4.9,14198,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 10,Jaipur,NA,Area 5,Hotel,3,3.7,2726,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 11,Jaipur,NA,Area 1,Hotel,2,4.2,5926,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 12,Jaipur,NA,Area 2,Hotel,3,3.4,19558,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 13,Jaipur,NA,Area 3,Hotel,3,3.8,19917,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 14,Jaipur,NA,Area 4,Hotel,2,4.2,19148,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 15,Jaipur,NA,Area 5,Hotel,3,4.0,21483,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 16,Jaipur,NA,Area 1,Hotel,5,4.5,18623,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 17,Jaipur,NA,Area 2,Hotel,5,3.8,16456,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 18,Jaipur,NA,Area 3,Hotel,3,4.4,9340,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 19,Jaipur,NA,Area 4,Hotel,2,4.2,9198,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 20,Jaipur,NA,Area 5,Hotel,5,4.7,18409,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 21,Jaipur,NA,Area 1,Hotel,5,3.7,25102,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 22,Jaipur,NA,Area 2,Hotel,2,4.1,3598,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 23,Jaipur,NA,Area 3,Hotel,4,3.5,6605,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 24,Jaipur,NA,Area 4,Hotel,5,3.3,17222,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
Jaipur Stay 25,Jaipur,NA,Area 5,Hotel,2,4.5,23096,WiFi|Pool|Breakfast|AC,Comfortable rooms close to the main attractions
