Zone,State,City,Name,Type,Google review rating,Entrance Fee in INR,Best Time to visit,time needed to visit in hrs,Significance,Weekly Off
Northern,Rajasthan,Jaipur,Amber Fort,Fort,4.6,200,October-March,3,Hilltop fort with mirror palace and elephant rides,None
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,4.4,50,October-March,1,Pink sandstone palace of winds with 953 windows,None
Northern,Rajasthan,Jaipur,City Palace,Palace,4.5,300,October-March,2,Royal residence museum with courtyards and armoury,None
Northern,Rajasthan,Jaipur,Jal Mahal,Monument,4.3,0,October-March,1,Water palace in the middle of Man Sagar lake,None
Northern,Rajasthan,Jaipur,Nahargarh Fort,Fort,4.5,100,October-March,2,Sunset viewpoint fort over the pink city,None
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,4.4,150,All year,2,Oldest museum in the state with indo saracenic architecture,Monday
Western,Goa,Goa,Baga Beach,Beach,4.2,0,November-February,4,Popular beach with shacks water sports and nightlife,None
Western,Goa,Goa,Basilica of Bom Jesus,Church,4.6,0,November-February,1,UNESCO heritage baroque church housing relics,None
Western,Goa,Goa,Dudhsagar Falls,Waterfall,4.7,400,June-September,5,Four tiered waterfall reached by jeep safari,None
Southern,Kerala,Kochi,Fort Kochi Beach,Beach,4.1,0,October-March,2,Chinese fishing nets and colonial waterfront,None
Southern,Kerala,Kochi,Mattancherry Palace,Palace,4.3,10,October-March,1,Dutch palace with Ramayana murals,Friday
