input_destination,input_duration,input_interests_001,input_interests_002,input_interests_003,input_interests_004,input_interests_005,output_optimized_itinerary_state,output_optimized_itinerary_days_day,output_optimized_itinerary_days_morning,output_optimized_itinerary_days_afternoon,output_optimized_itinerary_days_evening
Agra,2.0,history,architecture,Not Specified,Not Specified,Not Specified,,1,Visit the Taj Mahal at sunrise,Explore Agra Fort,Mehtab Bagh for sunset views of the Taj
Agra,2.0,history,architecture,Not Specified,Not Specified,Not Specified,,2,Visit Fatehpur Sikri,Explore the Tomb of Itimad-ud-Daulah (Baby Taj),Shopping for local handicrafts
Jaipur,3.0,history,culture,shopping,Not Specified,Not Specified,,1,Explore City Palace,Visit Jantar Mantar,Shopping at Johari Bazaar
Jaipur,3.0,history,culture,shopping,Not Specified,Not Specified,,2,Visit Amer Fort,Explore Jaigarh Fort,Enjoy a traditional Rajasthani dinner
Jaipur,3.0,history,culture,shopping,Not Specified,Not Specified,,3,Visit Hawa Mahal and Nahargarh Fort,Block printing workshop,Relax at a rooftop cafe
Goa,4.0,beach,nightlife,watersports,Not Specified,Not Specified,,1,Relax at Calangute Beach,Watersports at Baga Beach,Party at Tito's Lane
Goa,4.0,beach,nightlife,watersports,Not Specified,Not Specified,,2,Explore Old Goa churches,Visit a spice plantation,Sunset cruise on the Mandovi River
Goa,4.0,beach,nightlife,watersports,Not Specified,Not Specified,,3,Dolphin spotting trip,Relax at Anjuna Beach,Anjuna Flea Market
Goa,4.0,beach,nightlife,watersports,Not Specified,Not Specified,,4,Visit Dudhsagar Falls,Explore the peaceful beaches of South Goa,Dinner at a beach shack
Delhi,3.0,history,food,culture,Not Specified,Not Specified,,1,"Explore Old Delhi: Jama Masjid, Chandni Chowk",Visit Red Fort,Light and sound show at Red Fort
Delhi,3.0,history,food,culture,Not Specified,Not Specified,,2,Visit Humayun's Tomb and Qutub Minar,Explore Lodhi Garden,Dine at a fine dining restaurant
Delhi,3.0,history,food,culture,Not Specified,Not Specified,,3,Visit India Gate and Rashtrapati Bhavan,Explore Connaught Place for shopping,Food tour in a local market
Mumbai,3.0,city life,food,bollywood,Not Specified,Not Specified,,1,Visit the Gateway of India and take a ferry to Elephanta Caves,Explore Colaba Causeway for shopping,Walk along Marine Drive
Mumbai,3.0,city life,food,bollywood,Not Specified,Not Specified,,2,Dharavi slum tour,Visit Haji Ali Dargah and Mahalaxmi Temple,Watch a Bollywood movie at a classic cinema
Mumbai,3.0,city life,food,bollywood,Not Specified,Not Specified,,3,Explore Bandra-Worli Sea Link and Bandstand,Visit Film City,Enjoy the nightlife in Bandra
Varanasi,2.0,spirituality,culture,bollywood,Not Specified,Not Specified,,1,Sunrise boat ride on the Ganges,Explore the ghats and temples,Witness the Ganga Aarti ceremony
Varanasi,2.0,spirituality,culture,bollywood,Not Specified,Not Specified,,2,Visit Sarnath,Walking tour of the old city,Attend a classical music concert
Udaipur,3.0,culture,nature,bollywood,Not Specified,Not Specified,,1,City Palace tour,Boat ride on Lake Pichola,Cultural show at Bagore Ki Haveli
Udaipur,3.0,culture,nature,bollywood,Not Specified,Not Specified,,2,Visit Jagdish Temple and Saheliyon Ki Bari,Explore the vintage car museum,Sunset at Monsoon Palace
Udaipur,3.0,culture,nature,bollywood,Not Specified,Not Specified,,3,Day trip to Kumbhalgarh Fort,Explore the fort,Relax by the lake
Jodhpur,2.0,history,architecture,bollywood,Not Specified,Not Specified,,1,Explore Mehrangarh Fort,Visit Jaswant Thada,Explore the blue city and its markets
Jodhpur,2.0,history,architecture,bollywood,Not Specified,Not Specified,,2,Visit Umaid Bhawan Palace Museum,Shopping for local handicrafts,Enjoy a traditional Rajasthani thali
Rishikesh,3.0,adventure,spirituality,yoga,Not Specified,Not Specified,,1,River rafting on the Ganges,Visit Lakshman Jhula and Ram Jhula,Attend the Ganga Aarti at Triveni Ghat
Rishikesh,3.0,adventure,spirituality,yoga,Not Specified,Not Specified,,2,Yoga and meditation session,Hike to a waterfall,Explore the local cafes
Rishikesh,3.0,adventure,spirituality,yoga,Not Specified,Not Specified,,3,Bungee jumping or zip-lining,Visit the Beatles Ashram,Relax by the river
Shimla,3.0,nature,colonial architecture,yoga,Not Specified,Not Specified,,1,Walk along the Mall Road,Visit the Viceregal Lodge,Enjoy views from the Ridge
Shimla,3.0,nature,colonial architecture,yoga,Not Specified,Not Specified,,2,Toy train ride to Kalka,Visit Jakhoo Temple,Explore the local markets
Shimla,3.0,nature,colonial architecture,yoga,Not Specified,Not Specified,,3,Day trip to Kufri,Enjoy horse riding and other activities,Relax and enjoy the cool weather
Manali,4.0,adventure,nature,honeymoon,Not Specified,Not Specified,,1,Explore Manali town,Visit Hadimba Temple,Relax by the Beas River
Manali,4.0,adventure,nature,honeymoon,Not Specified,Not Specified,,2,Day trip to Solang Valley,Paragliding and other adventure sports,Bonfire and music
Manali,4.0,adventure,nature,honeymoon,Not Specified,Not Specified,,3,Day trip to Rohtang Pass,Enjoy the snow and stunning views,Explore the Mall Road
Manali,4.0,adventure,nature,honeymoon,Not Specified,Not Specified,,4,Visit Old Manali,Explore the cafes and chill,Departure
Darjeeling,3.0,tea plantations,nature,mountains,Not Specified,Not Specified,,1,Sunrise at Tiger Hill,Visit a tea estate and factory,Stroll around Chowrasta Mall
Darjeeling,3.0,tea plantations,nature,mountains,Not Specified,Not Specified,,2,Darjeeling Himalayan Railway (Toy Train) ride,Visit the Himalayan Mountaineering Institute and Zoo,Explore the local markets
Darjeeling,3.0,tea plantations,nature,mountains,Not Specified,Not Specified,,3,Visit the Peace Pagoda,Explore the Rock Garden and Ganga Maya Park,Enjoy a traditional Tibetan meal
Munnar,3.0,nature,tea plantations,wildlife,Not Specified,Not Specified,,1,Visit a tea museum,Explore the tea gardens,Relax and enjoy the serene environment
Munnar,3.0,nature,tea plantations,wildlife,Not Specified,Not Specified,,2,Visit Eravikulam National Park,Explore Mattupetty Dam and Echo Point,Boating in Kundala Lake
Munnar,3.0,nature,tea plantations,wildlife,Not Specified,Not Specified,,3,Visit Top Station for panoramic views,Explore the local market for spices,Enjoy a quiet evening amidst nature
Alleppey (Alappuzha),2.0,backwaters,houseboat,relaxation,Not Specified,Not Specified,,1,Check into a houseboat,Cruise through the backwaters,Enjoy a traditional Kerala meal on the houseboat
Alleppey (Alappuzha),2.0,backwaters,houseboat,relaxation,Not Specified,Not Specified,,2,Explore the local villages and paddy fields,Relax on the houseboat,Departure
Kochi (Cochin),2.0,history,culture,food,Not Specified,Not Specified,,1,"Explore Fort Kochi: Chinese Fishing Nets, St. Francis Church",Visit the Dutch Palace and Jewish Synagogue,Watch a Kathakali performance
Kochi (Cochin),2.0,history,culture,food,Not Specified,Not Specified,,2,Explore Mattancherry,Shopping for spices and antiques,Enjoy seafood at a local restaurant
Hampi,3.0,history,ruins,bouldering,Not Specified,Not Specified,,1,Explore the Virupaksha Temple and Hampi Bazaar,Visit the Vittala Temple Complex (Stone Chariot),Sunset from Matanga Hill
Hampi,3.0,history,ruins,bouldering,Not Specified,Not Specified,,2,Explore the Royal Enclosure,Visit the Zenana Enclosure and Elephant Stables,Coracle ride on the Tungabhadra River
Hampi,3.0,history,ruins,bouldering,Not Specified,Not Specified,,3,Explore the other side of the river (Anegundi),Bouldering and exploring the hippie culture,Relax at a cafe
Mysore,2.0,history,palaces,culture,Not Specified,Not Specified,,1,Visit Mysore Palace,Explore Devaraja Market,Witness the illumination of Mysore Palace
Mysore,2.0,history,palaces,culture,Not Specified,Not Specified,,2,Visit Chamundi Hills and Chamundeshwari Temple,Explore the Jaganmohan Palace and Art Gallery,Enjoy a traditional Mysore Pak
Amritsar,2.0,spirituality,history,food,Not Specified,Not Specified,,1,Visit the Golden Temple,Explore Jallianwala Bagh,Witness the Palki Sahib ceremony at the Golden Temple
Amritsar,2.0,spirituality,history,food,Not Specified,Not Specified,,2,Visit the Wagah Border for the Beating Retreat ceremony,Explore the local markets,Enjoy a traditional Punjabi meal
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,1,Arrive in Leh and acclimatize,Rest,Explore Leh market
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,2,Visit Leh Palace and Shanti Stupa,"Explore local monasteries: Hemis, Thiksey, Shey",Relax
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,3,Drive to Nubra Valley via Khardung La,Camel safari in Hunder sand dunes,Stay overnight in Nubra
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,4,Visit Diskit Monastery,Drive back to Leh,Relax
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,5,Drive to Pangong Tso,Enjoy the beauty of the lake,Stay overnight near Pangong
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,6,Drive back to Leh,Explore local markets,Farewell dinner
Leh-Ladakh,7.0,adventure,mountains,monasteries,Not Specified,Not Specified,,7,Departure from Leh,Not Available,Not Available
Srinagar,4.0,nature,lakes,gardens,Not Specified,Not Specified,,1,Arrive in Srinagar and check into a houseboat,Shikara ride on Dal Lake,Explore the floating markets
Srinagar,4.0,nature,lakes,gardens,Not Specified,Not Specified,,2,"Visit Mughal Gardens: Nishat Bagh, Shalimar Bagh",Explore Shankaracharya Temple,Relax on the houseboat
Srinagar,4.0,nature,lakes,gardens,Not Specified,Not Specified,,3,Day trip to Gulmarg,Enjoy the gondola ride,Return to Srinagar
Srinagar,4.0,nature,lakes,gardens,Not Specified,Not Specified,,4,Day trip to Pahalgam,Explore the beautiful valleys,Return to Srinagar
Jaisalmer,3.0,desert,forts,culture,Not Specified,Not Specified,,1,Explore Jaisalmer Fort,Visit Patwon Ki Haveli,Enjoy sunset views from the fort
Jaisalmer,3.0,desert,forts,culture,Not Specified,Not Specified,,2,Visit Gadisar Lake,Camel safari to the sand dunes,Cultural program and dinner at a desert camp
Jaisalmer,3.0,desert,forts,culture,Not Specified,Not Specified,,3,Explore the desert camp,Return to Jaisalmer and explore local markets,Departure
Khajuraho,2.0,temples,sculptures,history,Not Specified,Not Specified,,1,Explore the Western Group of Temples,Visit the Eastern Group of Temples,Light and sound show
Khajuraho,2.0,temples,sculptures,history,Not Specified,Not Specified,,2,Explore the Southern Group of Temples,Visit the Raneh Falls,Departure
Aurangabad (Ajanta & Ellora Caves),3.0,caves,history,architecture,Not Specified,Not Specified,,1,Day trip to Ajanta Caves,Explore the caves,Return to Aurangabad
Aurangabad (Ajanta & Ellora Caves),3.0,caves,history,architecture,Not Specified,Not Specified,,2,Day trip to Ellora Caves,Explore the caves and Kailasa Temple,Return to Aurangabad
Aurangabad (Ajanta & Ellora Caves),3.0,caves,history,architecture,Not Specified,Not Specified,,3,Visit Bibi Ka Maqbara and Daulatabad Fort,Explore Aurangabad city,Departure
Kolkata,3.0,culture,history,food,Not Specified,Not Specified,,1,Visit the Victoria Memorial,Explore St. Paul's Cathedral and the Maidan,Take a tram ride
Kolkata,3.0,culture,history,food,Not Specified,Not Specified,,2,"Explore North Kolkata: Kumortuli, Marble Palace",Visit the Howrah Bridge and Flower Market,Enjoy Bengali cuisine
Kolkata,3.0,culture,history,food,Not Specified,Not Specified,,3,Visit the Indian Museum,Explore Park Street,Food tour
Chennai,2.0,temples,beaches,culture,Not Specified,Not Specified,,1,Visit Kapaleeshwarar Temple,Explore Marina Beach,Enjoy the local cuisine
Chennai,2.0,temples,beaches,culture,Not Specified,Not Specified,,2,Day trip to Mahabalipuram,Explore the shore temples and rock-cut sculptures,Return to Chennai
Madurai,2.0,temples,history,culture,Not Specified,Not Specified,,1,Visit Meenakshi Amman Temple,Explore Thirumalai Nayakkar Palace,Witness the night ceremony at Meenakshi Temple
Madurai,2.0,temples,history,culture,Not Specified,Not Specified,,2,Visit Gandhi Memorial Museum,Explore the local markets,Departure
Ranthambore National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,1,Morning safari,Relax at the resort,Evening safari
Ranthambore National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,2,Morning safari,Visit Ranthambore Fort,Departure
Jim Corbett National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,1,Morning safari,Nature walk along the Kosi River,Evening safari
Jim Corbett National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,2,Morning safari,Visit Corbett Museum,Departure
Kaziranga National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,1,Elephant safari,Jeep safari,Cultural show
Kaziranga National Park,2.0,wildlife,safari,nature,Not Specified,Not Specified,,2,Jeep safari in another range,Visit a tea garden,Departure
Sundarbans National Park,3.0,wildlife,mangroves,boating,Not Specified,Not Specified,,1,Travel to the Sundarbans,Boat cruise through the mangroves,Stay at a jungle resort
Sundarbans National Park,3.0,wildlife,mangroves,boating,Not Specified,Not Specified,,2,Visit a watchtower for wildlife viewing,Explore the local villages,Cultural program
Sundarbans National Park,3.0,wildlife,mangroves,boating,Not Specified,Not Specified,,3,Boat safari,Return to Kolkata,Departure
Pondicherry,3.0,french culture,beaches,spirituality,Not Specified,Not Specified,,1,Explore the French Quarter,Visit Aurobindo Ashram,Stroll along the Promenade Beach
Pondicherry,3.0,french culture,beaches,spirituality,Not Specified,Not Specified,,2,Day trip to Auroville,Visit Matrimandir,Relax at a cafe in Auroville
Pondicherry,3.0,french culture,beaches,spirituality,Not Specified,Not Specified,,3,"Explore the beaches: Paradise Beach, Serenity Beach",Shopping for local handicrafts,Enjoy French cuisine
Ooty,3.0,nature,tea plantations,hills,Not Specified,Not Specified,,1,Toy train ride from Mettupalayam to Ooty,Visit Ooty Lake,Explore the local market
Ooty,3.0,nature,tea plantations,hills,Not Specified,Not Specified,,2,Visit the Botanical Gardens,Explore Doddabetta Peak,Visit a tea factory
Ooty,3.0,nature,tea plantations,hills,Not Specified,Not Specified,,3,Day trip to Coonoor,Explore Sim's Park and Dolphin's Nose,Return to Ooty
Kodaikanal,3.0,nature,lakes,hills,Not Specified,Not Specified,,1,Boating in Kodaikanal Lake,Explore Coaker's Walk,Enjoy the views from Bryant Park
Kodaikanal,3.0,nature,lakes,hills,Not Specified,Not Specified,,2,Visit Pillar Rocks and Green Valley View,Explore Bear Shola Falls,Visit the Kodai Astrophysical Observatory
Kodaikanal,3.0,nature,lakes,hills,Not Specified,Not Specified,,3,Trekking in the hills,Explore the local markets for homemade chocolates,Departure
Mahabaleshwar,2.0,nature,viewpoints,strawberries,Not Specified,Not Specified,,1,Visit Arthur's Seat and other viewpoints,Boating in Venna Lake,Explore the market and enjoy strawberry with cream
Mahabaleshwar,2.0,nature,viewpoints,strawberries,Not Specified,Not Specified,,2,Visit Pratapgad Fort,Explore the strawberry farms,Departure
Lonavala,2.0,hills,forts,caves,Not Specified,Not Specified,,1,Visit Karla and Bhaja Caves,Explore Lohagad Fort,Enjoy the views from Tiger Point
Lonavala,2.0,hills,forts,caves,Not Specified,Not Specified,,2,Visit Bushi Dam,Explore Lonavala Lake,Enjoy chikki and fudge
Mount Abu,2.0,temples,nature,relaxation,Not Specified,Not Specified,,1,Visit Dilwara Temples,Boating in Nakki Lake,Sunset at Sunset Point
Mount Abu,2.0,temples,nature,relaxation,Not Specified,Not Specified,,2,Visit Guru Shikhar,Explore Achalgarh Fort,Departure
Nainital,3.0,lakes,nature,hills,Not Specified,Not Specified,,1,Boating in Naini Lake,Visit Naina Devi Temple,Stroll along the Mall Road
Nainital,3.0,lakes,nature,hills,Not Specified,Not Specified,,2,Cable car ride to Snow View Point,Visit the Nainital Zoo,Explore the Tibetan Market
Nainital,3.0,lakes,nature,hills,Not Specified,Not Specified,,3,"Day trip to Bhimtal, Sattal, and Naukuchiatal",Enjoy the beauty of the lakes,Return to Nainital
Mussoorie,3.0,hills,nature,waterfalls,Not Specified,Not Specified,,1,Visit Kempty Falls,Cable car ride to Gun Hill,Stroll along the Mall Road
Mussoorie,3.0,hills,nature,waterfalls,Not Specified,Not Specified,,2,Visit Landour and St. Paul's Church,Explore Lal Tibba,Enjoy the sunset views
Mussoorie,3.0,hills,nature,waterfalls,Not Specified,Not Specified,,3,Day trip to Dhanaulti,Explore the Eco Park,Return to Mussoorie
